1245 clips in range 2026-08-18..2026-08-31; 1205 not yet repaired
 190 OK    separate-sciences-ocr/physics-paper-1/L3: 72.72s -> 69.64s (card 3.1s, encode, vs card 26.1)
 191 OK    drama-aqa/noughts-and-crosses/L3: 89.35s -> 86.31s (card 3.1s, copy, vs card 25.4)
 192 OK    drama-aqa/noughts-and-crosses/L3: 80.29s -> 77.21s (card 3.1s, encode, vs card 16.5)
 193 OK    drama-aqa/noughts-and-crosses/L3: 64.3s -> 61.21s (card 3.1s, encode, vs card 38.1)
 194 OK    drama-aqa/noughts-and-crosses/L3: 73.79s -> 70.75s (card 3.1s, copy, vs card 80.8)
 195 OK    film-studies-eduqas/global-and-uk-film/L1: 75.42s -> 72.38s (card 3.1s, copy, vs card 31.7)
 196 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L8: 63.67s -> 60.6s (card 3.1s, copy, vs card 83.9)
 197 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L8: 64.99s -> 61.95s (card 3.1s, copy, vs card 171.0)
 198 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L8: 76.63s -> 73.35s (card 3.1s, copy, vs card 43.7)
 199 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L8: 66.62s -> 63.58s (card 3.1s, copy, vs card 42.9)
 200 OK    science-aqa/biology-paper-2/L11: 80.2s -> 77.13s (card 3.1s, encode, vs card 12.4)
 201 OK    science-aqa/biology-paper-2/L11: 75.65s -> 72.61s (card 3.1s, copy, vs card 28.6)
 202 OK    science-aqa/biology-paper-2/L11: 76.07s -> 73.0s (card 3.1s, copy, vs card 28.4)
 203 OK    science-aqa/biology-paper-2/L11: 72.59s -> 69.33s (card 3.1s, copy, vs card 17.8)
 204 OK    separate-sciences-edexcel/chemistry-paper-1/L1: 65.9s -> 62.67s (card 3.1s, copy, vs card 30.8)
 205 OK    separate-sciences-edexcel/chemistry-paper-1/L1: 64.37s -> 61.28s (card 3.1s, encode, vs card 15.2)
 206 OK    separate-sciences-edexcel/chemistry-paper-1/L1: 74.09s -> 71.05s (card 3.1s, copy, vs card 16.4)
 207 OK    english-literature-edexcel/romeo-and-juliet/L4: 78.39s -> 75.3s (card 3.1s, encode, vs card 206.3)
 208 OK    english-literature-edexcel/romeo-and-juliet/L4: 74.7s -> 71.61s (card 3.1s, encode, vs card 26.6)
 209 OK    english-literature-edexcel/romeo-and-juliet/L4: 78.37s -> 75.3s (card 3.1s, encode, vs card 32.8)
 210 OK    english-literature-edexcel/romeo-and-juliet/L4: 76.72s -> 73.63s (card 3.1s, encode, vs card 107.3)
 211 OK    science-ocr/biology-paper-2/L8: 83.8s -> 80.73s (card 3.1s, encode, vs card 40.8)
 212 OK    science-ocr/biology-paper-2/L8: 75.23s -> 72.17s (card 3.1s, copy, vs card 26.7)
 213 OK    science-ocr/biology-paper-2/L8: 70.96s -> 67.92s (card 3.1s, copy, vs card 15.5)
 214 OK    science-ocr/biology-paper-2/L8: 79.78s -> 76.67s (card 3.1s, copy, vs card 31.0)
 215 OK    music-eduqas/aos2-music-for-ensemble/L2: 76.93s -> 73.84s (card 3.1s, encode, vs card 28.8)
 216 OK    music-eduqas/aos2-music-for-ensemble/L2: 62.9s -> 59.84s (card 3.1s, copy, vs card 30.0)
 217 OK    music-eduqas/aos2-music-for-ensemble/L2: 83.36s -> 80.27s (card 3.1s, encode, vs card 27.1)
 218 OK    music-eduqas/aos2-music-for-ensemble/L2: 75.35s -> 72.31s (card 3.1s, copy, vs card 29.3)
 219 OK    design-technology-edexcel/designing-making-principles/L4: 67.36s -> 64.27s (card 3.1s, encode, vs card 33.9)
 220 OK    design-technology-edexcel/designing-making-principles/L4: 65.69s -> 62.65s (card 3.1s, copy, vs card 25.9)
 221 OK    design-technology-edexcel/designing-making-principles/L4: 80.16s -> 77.07s (card 3.1s, encode, vs card 31.6)
 222 OK    design-technology-edexcel/designing-making-principles/L4: 68.57s -> 65.5s (card 3.1s, copy, vs card 48.1)
 223 OK    religious-studies-eduqas/theme-human-rights/L3: 82.99s -> 79.95s (card 3.1s, copy, vs card 32.7)
 224 OK    religious-studies-eduqas/theme-human-rights/L3: 79.06s -> 76.02s (card 3.1s, copy, vs card 26.1)
 225 OK    religious-studies-eduqas/theme-human-rights/L3: 68.03s -> 64.97s (card 3.1s, copy, vs card 33.3)
 226 OK    religious-studies-eduqas/theme-human-rights/L3: 59.93s -> 56.84s (card 3.1s, encode, vs card 70.5)
 227 OK    music-ocr/aos3-rhythms-of-the-world/L1: 76.35s -> 73.31s (card 3.1s, copy, vs card 30.3)
 228 OK    music-ocr/aos3-rhythms-of-the-world/L1: 84.38s -> 81.34s (card 3.1s, copy, vs card 29.8)
 229 OK    music-ocr/aos3-rhythms-of-the-world/L1: 70.98s -> 67.94s (card 3.1s, copy, vs card 28.7)
 230 OK    music-ocr/aos3-rhythms-of-the-world/L1: 65.25s -> 62.21s (card 3.1s, copy, vs card 26.4)
 231 OK    history-edexcel/crime-punishment-whitechapel/L7: 87.33s -> 84.01s (card 3.1s, copy, vs card 63.4)
